Sl_no,SRO,YEAR,LOCATION
273, Central -Asaf Ali (SR III),2021-2022, Paschim Vihar*
274, Central -Asaf Ali (SR III),2021-2022, Patel Nagar*
275, Central -Asaf Ali (SR III),2021-2022, Peshwa Road*
276, Central -Asaf Ali (SR III),2021-2022, Pitampura*
277, Central -Asaf Ali (SR III),2021-2022, Prashad Nagar
278, Central -Asaf Ali (SR III),2021-2022, Prem Nagar*
279, Central -Asaf Ali (SR III),2021-2022, Press Area (Darya Ganj)
280, Central -Asaf Ali (SR III),2021-2022, Prithvi Raj Road*
281, Central -Asaf Ali (SR III),2021-2022, Punjabi Bagh Extension*
282, Central -Asaf Ali (SR III),2021-2022, Punjabi Bagh*
283, Central -Asaf Ali (SR III),2021-2022, Punjabi Basti*
284, Central -Asaf Ali (SR III),2021-2022, Pusa Institute*
285, Central -Asaf Ali (SR III),2021-2022, Pusa Road
286, Central -Asaf Ali (SR III),2021-2022, Pyare Lal Road
287, Central -Asaf Ali (SR III),2021-2022, Qamra Bangush
288, Central -Asaf Ali (SR III),2021-2022, Qasab Pura*
289, Central -Asaf Ali (SR III),2021-2022, Qutab Road*
290, Central -Asaf Ali (SR III),2021-2022, Raigar Pura*
291, Central -Asaf Ali (SR III),2021-2022, Rajender Nagar*
292, Central -Asaf Ali (SR III),2021-2022, Rajendra Place
293, Central -Asaf Ali (SR III),2021-2022, Rajinder Nagar
294, Central -Asaf Ali (SR III),2021-2022," Rajindra Park, Pusa Road"
295, Central -Asaf Ali (SR III),2021-2022, Rajouri Garden*
296, Central -Asaf Ali (SR III),2021-2022, Rajpur Road*
297, Central -Asaf Ali (SR III),2021-2022, Rakab Ganj (Darya Ganj)
298, Central -Asaf Ali (SR III),2021-2022, Rakab Ganj*
299, Central -Asaf Ali (SR III),2021-2022, Ram Nagar
300, Central -Asaf Ali (SR III),2021-2022, Rama Krishna Ashram Marg*
301, Central -Asaf Ali (SR III),2021-2022, Ramesh Nagar*
302, Central -Asaf Ali (SR III),2021-2022, Ramjas Road*
303, Central -Asaf Ali (SR III),2021-2022, Rampura*
304, Central -Asaf Ali (SR III),2021-2022, Rangpuri*
305, Central -Asaf Ali (SR III),2021-2022, Rani Jhansi Road
306, Central -Asaf Ali (SR III),2021-2022, Ravi Nagar*
307, Central -Asaf Ali (SR III),2021-2022, Regar Pura*
308, Central -Asaf Ali (SR III),2021-2022, Reghar Pura
309, Central -Asaf Ali (SR III),2021-2022, Rishi Nagar*
310, Central -Asaf Ali (SR III),2021-2022, Rodgran*
311, Central -Asaf Ali (SR III),2021-2022, Rohini*
312, Central -Asaf Ali (SR III),2021-2022, Roshanara Road*
313, Central -Asaf Ali (SR III),2021-2022, Rouse Avenue (I.T.O.)
314, Central -Asaf Ali (SR III),2021-2022, Sabzi Mandi*
315, Central -Asaf Ali (SR III),2021-2022, Sadar Bazar*
316, Central -Asaf Ali (SR III),2021-2022, Sadar Nala Road*
317, Central -Asaf Ali (SR III),2021-2022, Sadar Thana Road*
318, Central -Asaf Ali (SR III),2021-2022, Safdarjung Enclave*
319, Central -Asaf Ali (SR III),2021-2022, Sainik Farm*
320, Central -Asaf Ali (SR III),2021-2022, Samalka*
321, Central -Asaf Ali (SR III),2021-2022, Sanjay Amar Colony (Minto Road)
322, Central -Asaf Ali (SR III),2021-2022, Sanjay Nagar*
323, Central -Asaf Ali (SR III),2021-2022, Sant Nagar*
324, Central -Asaf Ali (SR III),2021-2022, Sarai Kale Khan*
325, Central -Asaf Ali (SR III),2021-2022, Sardar Patel Marg*
326, Central -Asaf Ali (SR III),2021-2022, Sarita Vihar*
327, Central -Asaf Ali (SR III),2021-2022, Sarojini Nagar*
328, Central -Asaf Ali (SR III),2021-2022, Sarvodaya Enclave*
329, Central -Asaf Ali (SR III),2021-2022, Sarvpriya Vihar*
